Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
02-03-2001,78.89505339,80.92378432,78.76624711,79.60993958,12564300,2,4,9,3,2001
05-03-2001,79.95771034,80.3634545,79.73873379,80.33769226,5293200,5,0,10,3,2001
06-03-2001,81.37461072,82.27626945,80.82073485,81.20072174,6917000,6,1,10,3,2001
07-03-2001,81.72885576,81.81902116,80.99464894,81.78038025,6371700,7,2,10,3,2001
08-03-2001,81.53561736,81.94780335,81.23935899,81.87052155,6055000,8,3,10,3,2001
09-03-2001,81.21363167,81.21363167,79.28794898,79.44895935,10020300,9,4,10,3,2001
12-03-2001,78.79202129,78.89507027,75.83587367,76.04840851,13972900,12,0,11,3,2001
13-03-2001,76.89852624,77.56832973,75.69416734,77.29782867,12888000,13,1,11,3,2001
14-03-2001,75.38503768,76.82768885,74.54778201,75.77146149,19883400,14,2,11,3,2001
15-03-2001,76.28669642,76.55075574,75.58469371,75.79078674,10370300,15,3,11,3,2001
16-03-2001,75.63967057,75.81403269,74.14147185,74.27062988,58514600,16,4,11,3,2001
19-03-2001,74.75492018,76.00126621,74.14789007,75.78170013,10067800,19,0,12,3,2001
20-03-2001,76.1369151,76.49854772,73.68942592,73.74754333,15083900,20,1,12,3,2001
21-03-2001,73.73463862,74.43207726,72.26227143,72.49475098,19004600,21,2,12,3,2001
22-03-2001,72.33976945,72.71432042,69.76958571,71.75857544,28624800,22,3,12,3,2001
23-03-2001,73.13405418,74.04459974,72.00394739,73.92835999,12861700,23,4,12,3,2001
26-03-2001,74.71618047,75.08427209,74.1156094,74.87117004,9943800,26,0,13,3,2001
27-03-2001,74.66452529,76.62122322,74.44495917,76.4016571,12880700,27,1,13,3,2001
28-03-2001,75.49115903,75.52344485,74.199608,74.29001617,10953300,28,2,13,3,2001
29-03-2001,74.07043353,75.23283117,72.41725014,74.57414246,12060300,29,3,13,3,2001
30-03-2001,74.61937647,75.3555603,73.94131009,75.3555603,9183600,30,4,13,3,2001
02-04-2001,75.10367552,75.80110915,73.48923714,73.74754333,10561000,2,0,14,4,2001
03-04-2001,73.60546806,73.71524868,71.07402524,71.28713226,12836000,3,1,14,4,2001
04-04-2001,71.40336646,72.39140177,70.5832341,71.58418274,14884300,4,2,14,4,2001
05-04-2001,73.16637107,74.58061616,72.64974866,74.29647827,21522800,5,3,14,4,2001
06-04-2001,73.61191762,73.87668783,72.36557122,73.16633606,14937800,6,4,14,4,2001
09-04-2001,73.61837842,74.25769454,72.83053183,73.98001099,9034300,9,0,15,4,2001
10-04-2001,74.55473306,76.04001776,74.37391683,75.32966614,17873600,10,1,15,4,2001
11-04-2001,76.70516845,76.84078063,75.00032251,75.3813324,12722300,11,2,15,4,2001
12-04-2001,75.10365767,76.8085038,74.88409154,76.75038147,9233200,12,3,15,4,2001
16-04-2001,76.38876281,76.77622702,75.49759465,75.94317627,7350000,16,0,16,4,2001
17-04-2001,75.7559174,77.27349366,75.56864192,77.0151825,10924700,17,1,16,4,2001
18-04-2001,78.1775454,81.36767652,77.93861173,80.0761261,32481600,18,2,16,4,2001
19-04-2001,80.23755361,81.26433362,79.80488549,81.14163971,13809900,19,3,16,4,2001
20-04-2001,80.65733607,80.98022372,79.85657608,80.39902496,7626700,20,4,16,4,2001
23-04-2001,79.85012078,80.00510548,78.72647308,78.9395752,8451800,23,0,17,4,2001
24-04-2001,79.12039985,79.85012921,78.20339997,78.51337433,10044700,24,1,17,4,2001
25-04-2001,78.41001649,79.86301056,78.10650138,79.54012299,8249000,25,2,17,4,2001
26-04-2001,79.9017991,80.86400315,79.75326858,79.89533997,10590400,26,3,17,4,2001
27-04-2001,80.67024173,81.26435376,80.20528276,81.22560883,7938700,27,4,17,4,2001
30-04-2001,81.65828239,82.18781793,80.50880318,81.79389954,10766900,30,0,18,4,2001
01-05-2001,80.76714626,82.11036056,80.46363097,82.045784,10578000,1,1,18,5,2001
02-05-2001,82.2781961,82.45901231,81.36765097,81.89718628,9572900,2,2,18,5,2001
03-05-2001,81.45166387,81.46458213,80.21823519,80.85755157,9926200,3,3,18,5,2001
04-05-2001,79.85012449,82.23949136,79.71451226,82.23303223,12145300,4,4,18,5,2001
07-05-2001,81.92308003,82.25888112,81.51624324,81.52269745,7185200,7,0,19,5,2001
08-05-2001,81.92306759,82.07805231,81.0835576,81.48394012,6952600,8,1,19,5,2001
09-05-2001,80.88332869,81.72283827,80.76062985,81.14163971,9507400,9,2,19,5,2001
10-05-2001,82.18134947,82.33633414,81.21914092,81.38058472,6872400,10,3,19,5,2001
11-05-2001,81.36767932,81.68410781,80.33443994,80.81877136,7734400,11,4,19,5,2001
14-05-2001,80.65732936,81.00604858,80.37318667,80.98021698,7914000,14,0,20,5,2001
15-05-2001,81.0770985,81.69058312,80.62505279,81.3547821,9782200,15,1,20,5,2001
16-05-2001,80.61859093,83.4341718,80.47652449,83.27272797,14909000,16,2,20,5,2001
17-05-2001,83.30502362,84.00246221,83.02088088,83.40188599,11824600,17,3,20,5,2001
18-05-2001,83.36314565,83.78290558,82.7238343,83.78290558,6683100,18,4,20,5,2001
21-05-2001,83.84744492,85.13899524,83.40185848,85.01629639,11531500,21,0,21,5,2001
22-05-2001,85.13257288,85.30047094,84.64178712,84.90654755,8342700,22,1,21,5,2001
23-05-2001,84.62885101,84.62885101,83.46645355,83.46645355,12330800,23,2,21,5,2001
24-05-2001,83.6085571,83.95081733,83.0144448,83.71188354,7902800,24,3,21,5,2001
25-05-2001,83.7247597,83.75705044,82.59465791,82.72381592,7425000,25,4,21,5,2001
29-05-2001,82.80130794,82.88526188,81.94888476,82.06512451,9003900,29,1,22,5,2001
30-05-2001,81.74867212,82.07155968,80.72189201,80.91562653,10041800,30,2,22,5,2001
31-05-2001,80.99961762,81.85850018,80.88983698,81.3354187,9874200,31,3,22,5,2001
01-06-2001,81.49682347,82.0780221,80.79939004,81.83908844,8848300,1,4,22,6,2001
04-06-2001,81.88431787,82.29115457,81.41935882,82.23303223,5623500,4,0,23,6,2001
05-06-2001,82.32990369,83.45355149,82.18783231,83.1758728,9115400,5,1,23,6,2001
06-06-2001,83.19523036,83.19523036,82.24593991,82.48487854,12064900,6,2,23,6,2001
07-06-2001,82.04573052,82.88524014,82.01343979,82.78191376,7355300,7,3,23,6,2001
08-06-2001,82.46552198,82.57530755,81.45811387,82.01348114,8170600,8,4,23,6,2001
11-06-2001,81.82619724,82.00701355,80.98669221,81.43227386,7012200,11,0,24,6,2001
12-06-2001,80.63149546,81.84555111,80.10195997,81.29018402,9364400,12,1,24,6,2001
13-06-2001,81.47746717,81.74223741,80.4958909,80.59275818,7629400,13,2,24,6,2001
14-06-2001,80.19238212,80.26987693,78.62314784,78.78459167,12603000,14,3,24,6,2001
15-06-2001,78.30278513,79.26772582,77.97250156,78.91153717,16821100,15,4,24,6,2001
18-06-2001,78.78197953,79.29359347,78.30274817,78.52941132,11368300,18,0,25,6,2001
19-06-2001,79.25474644,79.58502991,78.28980605,78.87265778,7732300,19,1,25,6,2001
20-06-2001,78.48410992,79.56562092,78.42582227,79.28714752,8787200,20,2,25,6,2001
21-06-2001,79.15113869,80.50464539,79.10580605,80.18731689,12259100,21,3,25,6,2001
22-06-2001,79.9736144,80.03837462,79.11229409,79.55914307,12212000,22,4,25,6,2001
25-06-2001,79.83763557,79.9412559,78.68488658,78.82736206,8406800,25,0,26,6,2001
26-06-2001,78.29630578,79.26124644,78.08259259,78.71725464,8005800,26,1,26,6,2001
27-06-2001,78.74960052,79.16407171,78.3027517,78.67189026,10105100,27,2,26,6,2001
28-06-2001,79.0086388,80.26500726,78.96330617,79.10578156,10269300,28,3,26,6,2001
29-06-2001,79.52676507,80.31037509,79.17705395,79.39723969,9824200,29,4,26,6,2001
02-07-2001,79.52674147,80.51110936,79.41017113,80.38806152,8522200,2,0,27,7,2001
03-07-2001,80.29090395,80.3686142,79.68862485,80.3686142,3303100,3,1,27,7,2001
05-07-2001,79.70160233,80.07721845,78.78847205,78.80142212,5517900,5,3,27,7,2001
06-07-2001,78.56182836,78.67839874,77.09822845,77.09822845,11665900,6,4,27,7,2001
09-07-2001,77.38315948,78.06315408,77.1953514,77.51915741,8339300,9,0,28,7,2001
10-07-2001,77.90125291,78.12791613,76.55421868,76.58660126,8630700,10,1,28,7,2001
11-07-2001,76.48296846,76.99458248,75.82887902,76.66429901,15328600,11,2,28,7,2001
12-07-2001,77.38960438,78.66540032,77.26655657,78.48406982,12002800,12,3,28,7,2001
13-07-2001,78.25742765,79.21589553,78.11495716,79.16408539,10433800,13,4,28,7,2001
16-07-2001,78.85970008,79.18998353,77.90123722,78.17323303,6915300,16,0,29,7,2001
17-07-2001,77.84296126,78.97628227,77.60334798,78.90504456,7469800,17,1,29,7,2001
18-07-2001,78.07609485,78.77551694,77.75228888,78.36752319,7709300,18,2,29,7,2001
19-07-2001,79.1252233,79.6433148,78.20561558,79.0539856,10082900,19,3,29,7,2001
20-07-2001,78.45818726,78.96980128,78.30923434,78.58123016,6705800,20,4,29,7,2001
23-07-2001,78.87912203,78.93092722,77.03342438,77.03342438,8065200,23,0,30,7,2001
24-07-2001,77.06586726,77.19538775,75.60873951,76.28873444,12269000,24,1,30,7,2001
25-07-2001,76.36640995,77.37668808,76.068509,77.13059235,12088500,25,2,30,7,2001
26-07-2001,77.10465138,78.26387697,76.78084551,77.94007111,12898200,26,3,30,7,2001
27-07-2001,78.25096923,78.58772534,77.6551673,78.23801422,8478800,27,4,30,7,2001
30-07-2001,78.48412199,78.58773737,77.90774754,78.26393127,8547700,30,0,31,7,2001
